Los Angeles Dodgers,0.685,3480000,70223840,58520860,13000000,85779222,270381426,2022,2
New York Mets,0.623,9059230,55471150,35551276,2888496,128092737,268292506,2022,1
New York Yankees,0.611,1655000,44869766,60438450,23000000,84713587,252957200,2022,3
Philadelphia Phillies,0.537,24579500,24997530,39864676,27638462,74677627,244484097,2022,4
San Diego Padres,0.549,3632662,43620928,37137333,0,89543109,224511694,2022,3
Boston Red Sox,0.481,454008,33251746,10550000,19350000,46163402,211812131,2022,0
Chicago White Sox,0.5,18319228,43339730,23887177,1386067,68996311,203205326,2022,0
Houston Astros,0.654,7461568,58005501,2615540,764600,76567521,183791796,2022,5
Atlanta Braves,0.623,8667071,31301106,27258252,16000000,60407303,183438888,2022,2
Los Angeles Angels,0.451,4776922,43079080,38415343,0,31832908,179877811,2022,0
Toronto Blue Jays,0.568,2890914,26632640,34100179,10650000,67401081,177071670,2022,1
San Francisco Giants,0.5,1071820,18170156,6376150,3500000,14128074,162453046,2022,0
St. Louis Cardinals,0.574,10718300,56619066,7110821,3080750,57194604,156428325,2022,1
Chicago Cubs,0.457,16148056,4853440,15811500,1450000,44965508,151054737,2022,0
Texas Rangers,0.42,1725526,61185202,6590896,0,31737462,150037446,2022,0
Minnesota Twins,0.481,9713050,45077930,1672040,0,13845166,149030158,2022,0
Colorado Rockies,0.42,3542286,20884733,11038333,0,31494677,140012218,2022,0
Detroit Tigers,0.407,8460400,35671110,2294770,32000000,27336580,136287588,2022,0
Milwaukee Brewers,0.531,7000000,20706302,30511094,8500000,27025693,130769325,2022,0
Washington Nationals,0.34,935505,6126886,2797182,13916480,35212456,126809535,2022,0
Seattle Mariners,0.556,2797878,30183281,11049366,0,42815383,115838907,2022,2
Cincinnati Reds,0.383,415368,10078264,1650084,0,10402296,115467321,2022,0
Tampa Bay Rays,0.531,2043438,9177735,10391075,0,29256768,98342073,2022,1
Kansas City Royals,0.401,18476904,9942282,6218984,603822,27486836,92613711,2022,0
Arizona Diamondbacks,0.457,3325000,4588526,3589743,523056,41150478,85964090,2022,0
Miami Marlins,0.426,2953826,16363436,13596330,0,16428388,82954422,2022,0
Cleveland Guardians,0.568,4915384,29623082,3161506,0,18807906,66477492,2022,2
Pittsburgh Pirates,0.383,903810,13655980,9357660,0,6555053,56184032,2022,0
Oakland Athletics,0.37,1867300,3553854,3967513,0,5645656,48443900,2022,0
Baltimore Orioles,0.512,1636902,3124306,5937098,0,11839840,44888388,2022,0
Los Angeles Dodgers,0.654,2240500,48175134,56600000,426313,67219595,266020809,2021,3
New York Yankees,0.568,7253767,9298409,13086340,29000000,82880237,205669863,2021,1
New York Mets,0.475,8364690,24909097,26650000,0,116641967,201189189,2021,0
Philadelphia Phillies,0.506,1100000,32884784,58950651,0,54828611,197263223,2021,0
Houston Astros,0.586,7000000,65285876,17483098,609000,56499752,194222042,2021,4
Boston Red Sox,0.568,7850000,30709494,6808959,19350000,76734278,187100784,2021,3
Los Angeles Angels,0.475,3100000,4087196,1452479,0,21827411,180349558,2021,0
San Diego Padres,0.488,1499355,62513875,36671973,0,25292381,179764272,2021,0
San Francisco Giants,0.66,24202777,48039535,4668889,0,57475595,171890308,2021,2
Atlanta Braves,0.547,8285231,33790206,11430180,2813172,59035831,152750691,2021,5
St. Louis Cardinals,0.556,9579200,50798575,3435562,0,52205223,151469994,2021,1
Toronto Blue Jays,0.562,1629106,20539414,40476975,4325000,41432254,150140253,2021,0
Chicago Cubs,0.438,12268,1576596,5191890,0,27130135,144607670,2021,0
Washington Nationals,0.401,1877241,8859122,10436455,0,28903327,144415187,2021,0
Chicago White Sox,0.574,18772379,33697088,10195500,4333333,58831069,140926169,2021,2
Cincinnati Reds,0.512,4758000,37684784,14572645,0,28310008,126587447,2021,0
Minnesota Twins,0.451,2851010,47849178,12523066,0,20386241,120084606,2021,0
Colorado Rockies,0.46,1872500,23107675,24196173,0,30719074,116408966,2021,0
Milwaukee Brewers,0.586,4150000,7851693,47722318,0,20213610,99377415,2021,2
Texas Rangers,0.37,1158000,6871851,1007336,593000,15212845,95788819,2021,0
Arizona Diamondbacks,0.321,1700000,1835361,23087732,0,27606785,91632929,2021,0
Kansas City Royals,0.457,14978819,14948813,13381881,0,9205419,91595545,2021,0
Oakland Athletics,0.531,2672270,15710366,7415720,98144,25313710,90400598,2021,0
Detroit Tigers,0.475,582730,11048483,6361865,30000000,13415075,86348945,2021,0
Seattle Mariners,0.556,1635270,21854894,3901068,587500,29031542,83822113,2021,0
Tampa Bay Rays,0.617,2586300,8104801,16232266,5693516,11671768,70836327,2021,2
Miami Marlins,0.414,1409809,5872316,1212438,0,7809660,58157900,2021,0
